# Format: Mod,Faction,Name,PlayerTech,Upgrade,SpecialPower
# 日冕 Mod 内置秘密协议与升级条目。PlayerTech/Upgrade 可直接授予；仅 SpecialPower 的条目保留为参考。
日冕,神州,彻甲惊雷（电磁炮）,PlayerTech_Celestial_ElectromagneticGun,Upgrade_CelestialElectromagneticGun,SpecialPower_Celestial_ElectromagneticGun
日冕,神州,百夫长,PlayerTech_Celestial_CenturionUpgrade,,SpecialPower_CelestialCenturionUpgrade
日冕,神州,电能纳贡,PlayerTech_Celestial_PowerSealOff,,SpecialPower_CelestialPowerSealOff
日冕,神州,元神互锁,PlayerTech_Celestial_QuantumLink,,SpecialPower_CelestialQuantumBreak
日冕,神州,元神链接,PlayerTech_Celestial_QuantumLink,,SpecialPower_CelestialQuantumLink
日冕,神州,陨星天火（天火塔）,PlayerTech_Celestial_EMTurretDrop,,SpecialPowerCelestialEMTurretDrop
日冕,神州,三子归边,PlayerTech_Celestial_SpaceReinforce,,SpecialPower_CelestialSpaceReinforce
日冕,神州,四方玉宇 lv1,PlayerTech_Celestial_EMSuppressField_Lv1,,SpecialPower_Celestial_EMSuppressField_Lv1
日冕,神州,六面琼楼 lv2,PlayerTech_Celestial_EMSuppressField_Lv2,,SpecialPower_Celestial_EMSuppressField_Lv2
日冕,神州,八门金锁 lv3,PlayerTech_Celestial_EMSuppressField_Lv3,,SpecialPower_Celestial_EMSuppressField_Lv3
日冕,神州,羲和焚风 lv1,PlayerTech_Celestial_SatelliteLaserSweep_Lv1,,SpecialPowerCelestialSatelliteLaserSweep_Lv1
日冕,神州,羲和阳炎 lv2,PlayerTech_Celestial_SatelliteLaserSweep_Lv2,,SpecialPowerCelestialSatelliteLaserSweep_Lv2
日冕,神州,羲和十日煌 lv3,PlayerTech_Celestial_SatelliteLaserSweep_Lv3,,SpecialPowerCelestialSatelliteLaserSweep_Lv3
日冕,神州,雷铸天兵：百骑 lv1,PlayerTech_Celestial_lightningTroopUpgrade_Lv1,,SpecialPower_CelestiallightningTroopUpgrade_Lv1
日冕,神州,雷铸天兵：千军 lv2,PlayerTech_Celestial_lightningTroopUpgrade_Lv2,,SpecialPower_CelestiallightningTroopUpgrade_Lv2
日冕,神州,雷铸天兵：万乘 lv3,PlayerTech_Celestial_lightningTroopUpgrade_Lv3,,SpecialPower_CelestiallightningTroopUpgrade_Lv3
日冕,神州,超导电枢,,Upgrade_CelestialSupplyElectricitySystem,
日冕,神州,穿云定海,,Upgrade_CelestialAuxiliaryAimingSystem,
日冕,神州,金乌切换挂载,,,SpecialPower_CUBomberSwitchWeapon
日冕,神州,五雷天罚首发,PlayerTech_Celestial_OrbitalStrike,,SpecialPower_CelestialPantaOrbitalStrike
日冕,神州,五雷天罚连发,PlayerTech_Celestial_OrbitalStrike,,SpecialPower_CelestialOrbitalStrike0cd
日冕,神州,神州科技 1,,Upgrade_CelestialTech_RANK1,
日冕,神州,神州科技 2,,Upgrade_CelestialTech_RANK2,
日冕,神州,神州科技 3,,Upgrade_CelestialTech_RANK3,
日冕,神州,神州科技 4,,Upgrade_CelestialTech_RANK4,
日冕,神州,龙船防空武器,,Upgrade_CelestialDragonShip_AAWeapons,
日冕,神州,龙船导弹武器,,Upgrade_CelestialDragonShip_MissileWeapons,
日冕,神州,龙船等离子武器,,Upgrade_CelestialDragonShip_PlasmaWeapons,
日冕,神州,龙船防空武器 02,,Upgrade_CelestialDragonShip_AAWeapons02,
日冕,神州,龙船导弹武器 02,,Upgrade_CelestialDragonShip_MissileWeapons02,
日冕,神州,龙船主武器,,Upgrade_CelestialDragonShip_MainWeapons,
日冕,神州,龙船防空武器 03,,Upgrade_CelestialDragonShip_AAWeapons03,
日冕,神州,机动升级,,Upgrade_CelestialSpeedUpdate,
日冕,神州,战争工厂科技,,Upgrade_CelestialWarFactory,
